Position_title,organization_hiring,duty_station,position_status,date_posted,limit_date,job_description
Associate Research Scientist,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",Trieste (Italy),Entry Professional,Posted 20 hours ago,Close on 17 Mar 2023,https://www.unjobnet.org/jobs/detail/54290406
"VN 2023 53 Global Coordinator (Data Tracking Matrix) (P5) Berlin, Germany",International Organization for Migration (IOM),Berlin (Germany),Chief and Senior Professional,Posted 21 hours ago,Close on 31 Mar 2023,https://www.unjobnet.org/jobs/detail/54290199
Senior Data Protection Officer (Head of DPU),Food and Agriculture Organization (FAO),Rome (Italy),Full-time,Posted 17 hours ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/54289678
Human Resources Information System-Senior Officer,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Patancheru (India),Full-time,Posted 19 hours ago,,https://www.unjobnet.org/jobs/detail/54288767
Data Communication Engineer,EUROCONTROL - Supporting European Aviation (EUROCONTROL),Maastricht (Netherlands),,Posted 21 hours ago,Close on 16 Mar 2023,https://www.unjobnet.org/jobs/detail/54288553
Research Officer (Adv#75/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 18 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287812
Senior Research Officer (Adv#76/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 22 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287811
"Internship - Data Science, Office of Internal Audit (OIG), HQ Rome, Italy",World Food Programme (WFP),Rome (Italy),Intern,Posted 19 hours ago,Close on 4 Mar 2023,https://www.unjobnet.org/jobs/detail/54285537
"Food System (Partnership of Biodiversity and Finance) Research Analyst, China Food and Nature Resources Program",World Resources Institute (WRI),Beijing (China),,Posted Yesterday,,https://www.unjobnet.org/jobs/detail/54279090
Marine Programme Coordinator,International Union for Conservation of Nature (IUCN),Suva (Fiji),,Posted Yesterday,Close on 11 Mar 2023,https://www.unjobnet.org/jobs/detail/54278272
CONSULTANT - Education Management Information System expert for Yemen,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",Beirut (Lebanon) Yemen,Consultancy,Posted Yesterday,Close on 8 Mar 2023,https://www.unjobnet.org/jobs/detail/54262818
Computer Scientist for dynamical core development,European Centre for Medium-Range Weather Forecasts (ECMWF),Bonn (Germany),,Posted Yesterday,Close on 14 Mar 2023,https://www.unjobnet.org/jobs/detail/54260749
Information and Market Research Support Consultant for IDB Invest,Inter-American Development Bank (IDB),Washington DC (United States),,Posted Yesterday,,https://www.unjobnet.org/jobs/detail/54260392
Statistics team lead,Organisation for Economic Co-operation and Development (OECD),Paris (France),,Posted Yesterday,Close on 8 Mar 2023,https://www.unjobnet.org/jobs/detail/54260095
Data Science Assistant,United Nations Secretariat (UN),New York (United States),Associate,Posted Yesterday,Close on 16 Mar 2023,https://www.unjobnet.org/jobs/detail/54258723
"Technical Officer, Data Management and Reporting",World Health Organization (WHO),Washington DC (United States),Entry Professional,Posted Yesterday,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/54257329
Senior Regional Director - Africa,International Union for Conservation of Nature (IUCN),Pretoria (South Africa) Yaounde (Cameroon) Tanzania,Full-time,Posted Yesterday,Close on 12 Mar 2023,https://www.unjobnet.org/jobs/detail/54255324
Tourism Policy and Data Analyst(s) / Economist(s),Organisation for Economic Co-operation and Development (OECD),Paris (France),,Posted Yesterday,Close on 8 Mar 2023,https://www.unjobnet.org/jobs/detail/54255222
"HR Assistant (Data Analytics), GS5 (Post # 113055), HR Operations Section, UNICEF Global Shared Services Centre, Budapest, Hungary",United Nations Children's Fund (UNICEF),Budapest (Hungary),General Support,Posted Yesterday,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/54253875
International Food and Agriculture Statistics Specialist,Food and Agriculture Organization (FAO),Budapest (Hungary),Consultancy,Posted Yesterday,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/54252343
Research assistant on Trade,United Nations Economic and Social Commission for Western Asia (UNESCWA),Beirut (Lebanon),,Posted Yesterday,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/54249085
ASSOCIATE STATISTICIAN (Temporary Job Opening) [Temporary],United Nations Conference on Trade and Development (UNCTAD),Geneva (Switzerland),Entry Professional,Posted Yesterday,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/54249080
"Associate Statistician, DMD/TMI",United Nations Secretariat (UN),Geneva (Switzerland),Entry Professional,Posted Yesterday,Close on 17 Mar 2023,https://www.unjobnet.org/jobs/detail/54249077
Research Investigator (Adv#71/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted Yesterday,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54243600
Senior Research Investigator (Adv#72/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted Yesterday,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54243599
Consultancy for Developing A Toolkit For Integrating Child Rights In The National Strategy For Development Of Statistics (NSDS) Remote,United Nations Children's Fund (UNICEF),Djibouti (Djibouti) Kuwait (Kuwait) Hong Kong (Hong Kong) Macau (Macao) Singapore (Singapore) Bissau (Guinea-Bissau) Sao Tome (Sao Tome and Principe) Gao (Mali) Monaco (Monaco) San Marino (San Marino) Puerto Rico (Argentina) Montenegro (Brazil) Montenegro (Colombia) Panama City (Panama) Vatican City (Vatican) RwandaSomaliaYemenIraqSaudi ArabiaIranCyprusTanzaniaSyriaArmeniaKenyaDemocratic Republic of the CongoUgandaCentral African RepublicSeychellesJordanLebanonOmanQatarBahrainIsraelTurkeyEthiopiaEritreaEgyptSudanGreeceBurundiEstoniaLatviaAzerbaijanLithuaniaGeorgiaMoldovaBelarusFinlandUkraineBulgariaAlbaniaPolandRomaniaKosovoZimbabweZambiaComorosMalawiLesothoBotswanaMauritiusEswatiniSouth AfricaMozambiqueMadagascarAfghanistanPakistanBangladeshTurkmenistanTajikistanSri LankaBhutanIndiaMaldivesNepalMyanmarUzbekistanKazakhstanKyrgyzstanPalauThailandIndonesiaLaosPhilippinesMalaysiaChinaCambodiaSouth KoreaCook IslandsEast TimorMongoliaAustraliaMarshall IslandsMicronesiaPapua New GuineaSolomon IslandsNauruNew ZealandFijiLibyaCameroonSenegalPortugalLiberiaIvory CoastGhanaEquatorial GuineaNigeriaBurkina FasoTogoMauritaniaBeninGabonSierra LeoneGambiaGuineaChadNigerWestern SaharaTunisiaMoroccoMaltaAlgeriaIcelandNetherlandsAustriaLuxembourgIrelandAndorraLiechtensteinSlovakiaCzechiaNorwaySloveniaMontenegroCroatiaAngolaNamibiaBarbadosGuyanaSurinameParaguayUruguayJamaicaDominican RepublicCubaBahamasTrinidad and TobagoSaint Kitts and NevisDominicaSaint LuciaGrenadaBelizeEl SalvadorGuatemalaHondurasNicaraguaCosta RicaVenezuelaEcuadorHaitiChileBoliviaPeruMexicoTongaSamoaNiuePuerto RicoCanadaPalestinian TerritorySerbiaSouth SudanNetherlands Antilles,Locallly Recruited,Posted Yesterday,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/54242191
"CFA 2023 09 Reporting Officer (Regional Data Hub) (UG) Bangkok, Thailand",International Organization for Migration (IOM),Bangkok (Thailand),,Posted 2 days ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/54236517
"Junior Specialist - Software Platform Engineering Software Solutions, Data Resilience, Continuous Improvement",International Rice Research Institute (IRRI),Philippines,,Posted 2 days ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/54235145
Field Research Supervisor (Adv#69/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 2 days ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54234193
Research Assistant on LGBT Rights in the Middle East and North Africa,Human Rights Watch,,,Posted 2 days ago,Close on 15 Mar 2023,https://www.unjobnet.org/jobs/detail/54228971
DATA ENGINEER,Department for General Assembly and Conference Management (UN DGACM),Vienna (Austria),Mid-level Professional,Posted 2 days ago,Close on 30 Mar 2023,https://www.unjobnet.org/jobs/detail/54226719
Research Specialist Regional platform for Latin America and the Caribbean Food Action Alliance,Bioversity International,,,Posted 2 days ago,,https://www.unjobnet.org/jobs/detail/54225163
Research Technician I (N-23-18),International Potato Center (CIP),India,Full-time,Posted 2 days ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/54217104
DATA ENGINEER (TJO) [Temporary],Office of the United Nations High Commissioner for Human Rights (OHCHR),Geneva (Switzerland),Mid-level Professional,Posted 2 days ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/54214892
Statistics and Data Specialist Consultant,United Nations Development Programme (UNDP),New York (United States),Consultancy,Posted 2 days ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54214304
Research and Data Analyst Consultant,United Nations Development Programme (UNDP),New York (United States),Consultancy,Posted 2 days ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/54214303
Field Research Officer (Adv#68/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 2 days ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/54211527
"Programme Officer, Agriculture team",International Union for Conservation of Nature (IUCN),Gland (Switzerland),,Posted 2 days ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/54211526
"Data Analyst Consultant, FINR",World Food Programme (WFP),Italy,Consultancy,Posted 2 days ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/54209254
Data Scientist,Organisation for Economic Co-operation and Development (OECD),Paris (France),,Posted 2 days ago,Close on 7 Mar 2023,https://www.unjobnet.org/jobs/detail/54206687
Consultant on SDG statistics,United Nations Economic and Social Commission for Asia and the Pacific (UNESCAP),Bangkok (Thailand),,Posted 2 days ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/54205365
"National MICS Consultant, Astana, Kazakhstan, 18 months",United Nations Children's Fund (UNICEF),Astana (Kazakhstan),Consultancy,Posted 2 days ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/54205351
"Data Analyst – IITA, Rwanda",Bioversity International,Rwanda,,Posted 2 days ago,,https://www.unjobnet.org/jobs/detail/54203813
"Research Associate – IITA, Rwanda",Bioversity International,Rwanda,,Posted 2 days ago,,https://www.unjobnet.org/jobs/detail/54203812
Roster of consultants – Mixed methods research in perinatal and child health,World Health Organization (WHO),Multiple locations,,Posted 2 days ago,Close on 7 Mar 2023,https://www.unjobnet.org/jobs/detail/54201802
Roster of consultants – Health Accounts Data,World Health Organization (WHO),Multiple locations,,Posted 2 days ago,Close on 7 Mar 2023,https://www.unjobnet.org/jobs/detail/54201801
Knowledge and Data Analyst (NPSA8),United Nations Development Programme (UNDP),Dhaka (Bangladesh),Full-time,Posted 2 days ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/54197921
Data Coordinator,FHI 360,Thailand,,Posted 3 days ago,,https://www.unjobnet.org/jobs/detail/54187438
Caribbean diaspora groups survey (Personas),International Organization for Migration (IOM),Costa Rica,Consultancy,Posted 3 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54181756
Suriname diaspora groups survey (Personas),International Organization for Migration (IOM),Costa Rica,Consultancy,Posted 3 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54181755
"Senior Scientist, Gender Equity and Social Inclusion",International Maize and Wheat Improvement Center (CIMMYT),Lusaka (Zambia),,Posted 3 days ago,,https://www.unjobnet.org/jobs/detail/54174159
Research Assistant on Agriculture and Livelihood,United Nations Economic and Social Commission for Western Asia (UNESCWA),Beirut (Lebanon),,Posted 3 days ago,Closing soon: 19 Feb 2023,https://www.unjobnet.org/jobs/detail/54172577
Research Assistant,United Nations Economic and Social Commission for Western Asia (UNESCWA),Beirut (Lebanon),,Posted 3 days ago,Closing soon: 19 Feb 2023,https://www.unjobnet.org/jobs/detail/54172576
Agricultural Water Scientist(P4),International Atomic Energy Agency (IAEA),Vienna (Austria),Mid-level Professional,Posted 3 days ago,Close on 13 Mar 2023,https://www.unjobnet.org/jobs/detail/54171412
Behaviour Change Specialist,International Union for Conservation of Nature (IUCN),Bangkok (Thailand) Ireland,,Posted 3 days ago,Close on 5 Mar 2023,https://www.unjobnet.org/jobs/detail/54169301
Research Officer - Europe,International Union for Conservation of Nature (IUCN),Ireland,,Posted 3 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54169300
International Consultant - Cultural Statistics Expert,United Nations Development Programme (UNDP),Riyadh (Saudi Arabia),Chief and Senior Professional,Posted 3 days ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/54167371
"Project Analyst (Artificial Intelligence) (NPSA-8), Multiple Post: Full-time and Part-time (60%)",United Nations Development Programme (UNDP),Belgrade (Serbia),Consultancy,Posted 3 days ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/54167367
Reviser (Spanish)(P4),International Atomic Energy Agency (IAEA),Vienna (Austria),Mid-level Professional,Posted 3 days ago,Close on 13 Mar 2023,https://www.unjobnet.org/jobs/detail/54166773
Data Quality Officer,World Health Organization (WHO),Dubai (United Arab Emirates),Mid-level Professional,Posted 3 days ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/54166589
Research Associate for Data Analysis – Food Environment and Consumer Behavior (FECB) Asia,Bioversity International,,,Posted 3 days ago,,https://www.unjobnet.org/jobs/detail/54161791
"Research Specialist, ECPGR (Rome, Italy)",Bioversity International,Rome (Italy),,Posted 3 days ago,,https://www.unjobnet.org/jobs/detail/54161790
Project Scientist,European Space Agency (ESA),,,Posted 3 days ago,,https://www.unjobnet.org/jobs/detail/54160034
Consultant - WHO Ethics of Research Priority setting project,World Health Organization (WHO),Multiple locations,,Posted 3 days ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/54159820
Data Manager,World Health Organization (WHO),Brazzaville (Republic of the Congo),Full-time,Posted 3 days ago,Closing soon: 19 Feb 2023,https://www.unjobnet.org/jobs/detail/54159818
"Scientist, Research for Implementation",World Health Organization (WHO),Geneva (Switzerland),Mid-level Professional,Posted 3 days ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/54159817
E T Consultant - Research - Other,International Finance Corporation (IFC),Washington DC (United States),,Posted 3 days ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/54159424
Theme Leader – Biodiversity and Tree Genetic Resources,Center for International Forestry Research (CIFOR),Nairobi (Kenya),,Posted 3 days ago,,https://www.unjobnet.org/jobs/detail/54154278
Evaluation Data Associate,Green Climate Fund (GCF),Incheon (South Korea),,Posted 4 days ago,,https://www.unjobnet.org/jobs/detail/54153314
Local Researcher Mali (Gender/PVE),United Nations Interregional Crime and Justice Research Institute (UNICRI),Turin (Italy) Mali,,Posted 3 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54152049
Local Researcher Niger (Gender/PVE),United Nations Interregional Crime and Justice Research Institute (UNICRI),Turin (Italy),,Posted 4 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54152048
Local Researcher Mauritania (Gender/PVE),United Nations Interregional Crime and Justice Research Institute (UNICRI),Turin (Italy),,Posted 4 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54152047
"Assistant Scientist - Molecular Plant Pathology and Microbiome Experimental Design, Rice Microbiome, Genomics and Transcriptomics",International Rice Research Institute (IRRI),Philippines,,Posted 4 days ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/54149805
"Partnership Specialist, Southeast Asia",WorldFish,,,Posted 4 days ago,Close on 5 Mar 2023,https://www.unjobnet.org/jobs/detail/54149567
Data Management Assistant,WorldFish,,,Posted 4 days ago,Close on 12 Mar 2023,https://www.unjobnet.org/jobs/detail/54149566
Research Officer with Digital Health & Health Information Sys. under the Health System and Population Studies Division (Adv#67/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 4 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54111018
Statistician [Temporary],United Nations Department of Economic and Social Affairs (UN DESA),New York (United States),Mid-level Professional,Posted 6 days ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54055756
RESEARCH ASSISTANT,United Nations Secretariat (UN),New York (United States),Associate,Posted 6 days ago,Close on 11 Mar 2023,https://www.unjobnet.org/jobs/detail/54055753
Caribbean diaspora groups survey (Empresas),International Organization for Migration (IOM),,Consultancy,Posted 6 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54054338
Suriname diaspora groups survey (Empresas),International Organization for Migration (IOM),,Consultancy,Posted 6 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54054337
Israel and Palestine Assistant Researcher,Human Rights Watch,Israel,,Posted 6 days ago,Close on 5 Mar 2023,https://www.unjobnet.org/jobs/detail/54052265
Researcher Zanzibar: Youth Upskilling Strategy,United Nations Development Programme (UNDP),Tanzania,Consultancy,Posted 6 days ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/54043294
Nature Conservation and Food System Assistant,International Union for Conservation of Nature (IUCN),Malaga (Spain),,Posted 6 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54040530
Data Governance Analyst,World Food Programme (WFP),Italy,,Posted 6 days ago,Closing soon: 25 Feb 2023,https://www.unjobnet.org/jobs/detail/54033507
"Call for Consultants - Monitoring, Evaluation, Research, and Learning Proposal Writers",Winrock International,Remote Work,,Posted 6 days ago,,https://www.unjobnet.org/jobs/detail/54033072
Traineeship in Data Analytics,International Committee of the Red Cross (ICRC),,Internship,Posted 6 days ago,,https://www.unjobnet.org/jobs/detail/54031338
Technical Officer (TB Operational Research Initiatives),World Health Organization (WHO),Copenhagen (Denmark),Entry Professional,Posted 6 days ago,Close on 3 Mar 2023,https://www.unjobnet.org/jobs/detail/54030839
Consultant - Data Scientist for Pandemic and Epidemic Intelligence,World Health Organization (WHO),Multiple locations,,Posted 6 days ago,Closing soon: 24 Feb 2023,https://www.unjobnet.org/jobs/detail/54030836
Data Scientist (NPSA),United Nations University (UNU),Pretoria (South Africa),Consultancy,Posted 6 days ago,Close on 12 Mar 2023,https://www.unjobnet.org/jobs/detail/54022276
Post-Doctoral Fellow (Data Systems),WorldFish,,,Posted 1 week ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/54020287
Researcher - Digital Technology & SDGs (PSA contract),United Nations University (UNU),Macao,Consultancy,Posted 1 week ago,Close on 10 Mar 2023,https://www.unjobnet.org/jobs/detail/54017509
Consultant for Egypt to support micro and macro-level data,International Food Policy Research Institute (IFPRI),Cairo (Egypt),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54010733
"Consultoría Internacional: Coordinador de Encuesta de Indicadores Múltiples por Conglomerados MICS en Nicaragua, 9 meses",United Nations Children's Fund (UNICEF),Nicaragua,,Posted 1 week ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54006346
"MERL (Monitoring, Evaluation, Research and Learning) Officer",Plan International,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54004479
Social Equity Research & Storytelling Intern Associate (Unpaid role),Ashoka,Arlington (United States),Internship,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54002746
Business and Human Rights Researcher/Advisor,Amnesty International,United KingdomIreland,,Posted 1 week ago,Close on 2 Mar 2023,https://www.unjobnet.org/jobs/detail/54002733
"Project Manager, Common Funded Integrated Resources Information System (CIRIS)",The North Atlantic Treaty Organization (NATO),Brussels (Belgium),Full-time,Posted 1 week ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/54002054
SUPPLY CHAIN BUSINESS INTELLIGENCE OFFICER,United Nations Truce Supervision Organization (UNTSO),Bogota (Colombia),Mid-level Professional,Posted 1 week ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54000278
Researcher to support Empower for Inclusion project context analysis and developing of the full proposal,United Nations Development Programme (UNDP),Dili (East Timor),Consultancy,Posted 1 week ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/53999695
"Asociado(a) Senior de VAM (Vulnerabilidades, Análisis y Mapeo)",World Food Programme (WFP),Guatemala,,Posted 1 week ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/53999404
Consultant - GIS Data Management,World Health Organization (WHO),Multiple locations,,Posted 1 week ago,Close on 11 Mar 2023,https://www.unjobnet.org/jobs/detail/53994196
Scientific Officer - Climate Observations,European Centre for Medium-Range Weather Forecasts (ECMWF),Bonn (Germany),,Posted 1 week ago,Close on 15 Mar 2023,https://www.unjobnet.org/jobs/detail/53992795
Senior Research Scientist (Updated),"United Nations Educational, Scientific and Cultural Organization (UNESCO)",Trieste (Italy),Mid-level Professional,Posted 1 week ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/53987880
Chargé.e de projet de recherche « les coopérations intergénérationnelles,Ashoka,Paris (France),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53986429
"Research, Monitoring and Evaluation (M&E) Advisor",International Rescue Committee (IRC),Kenya,,Posted 1 week ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/53986428
"Giga Data and Country Coordination Consultant, Office of Innovation, 12 months (remote)",United Nations Children's Fund (UNICEF),SwedenRemote Work,Consultancy,Posted 1 week ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/53984035
User Researcher (NPSA5),United Nations Development Programme (UNDP),Yerevan (Armenia),Full-time,Posted 1 week ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/53983471
Data Science Assistant - Temporary [Temporary],United Nations Office on Drugs and Crime (UNODC),Vienna (Austria),Associate,Posted 1 week ago,Close on 10 Mar 2023,https://www.unjobnet.org/jobs/detail/53979604
"Individual Consultancy - International consultant to provide technical support to the knowledge, attitudes and practices (KAP) study on the parenting and childcare practices in the Maldives",United Nations Children's Fund (UNICEF),Maldives,Consultancy,Posted 1 week ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/53979597
Analyst - Research,European Bank for Reconstruction and Development (EBRD),London (United Kingdom),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53972968
"Program Coordinator & Research Assistant - Project on AI Governance, Strategic Technologies Program",The Center for Strategic and International Studies (CSIS),Washington DC (United States),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53967930
Consultant for Tajikistan Evaluation and Analysis Household Survey,International Food Policy Research Institute (IFPRI),Tajikistan,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53967629
Fullstack Developer,Bioversity International,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53967389
"Research Dissemination Intern, Strategy & Insights",Population Services International (PSI),United States,Internship,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53961928
Scientist II (Clinical Development),FHI 360,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53961585
Clinical Research Associate II,FHI 360,South Africa,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53961584
Data & Analytics Manager,International Committee of the Red Cross (ICRC),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53961235
"ASSOCIATE DEVELOPMENT COORDINATION OFFICER, DATA MANAGEMENT AND RESULTS MONITOR",United Nations Secretariat (UN),Brazzaville (Republic of the Congo),Entry Professional,Posted 1 week ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/53957376
"Chief P5, Supply Chain Research & Development (SCOD) - Rome, Italy",World Food Programme (WFP),Rome (Italy),Chief and Senior Professional,Posted 1 week ago,Close on 13 Mar 2023,https://www.unjobnet.org/jobs/detail/53956496
Data Engineer,Food and Agriculture Organization (FAO),Multiple locations,Consultancy,Posted 1 week ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/53955862
Researcher - Libya,Amnesty International,LibyaTunisia,,Posted 1 week ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/53955053
Research Scholar in economics of land-based mitigation,International Institute for Applied Systems Analysis (IIASA),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53954853
"National consultant to conduct a Perception Study on the efficacy of COVID 19 risk communication and community engagement approaches among refugee populations in Yumbe, Adjumani and Kyegegwa Districts",United Nations Development Programme (UNDP),Yumbe (Uganda) Kampala (Uganda) Adjumani (Uganda),Consultancy,Posted 1 week ago,Closing soon: 17 Feb 2023,https://www.unjobnet.org/jobs/detail/53952095
Wildlife and Biodiversity Program Coordinator,Center for International Forestry Research (CIFOR),Democratic Republic of the Congo,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950318
Senior Research Officer - Water Management,International Water Management Institute (IWMI),Lahore (Pakistan),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950197
National Researcher - Water Resources Management,International Water Management Institute (IWMI),Lahore (Pakistan),Locallly Recruited,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950196
Research Scholar - Integrated Assessment Modeling,International Institute for Applied Systems Analysis (IIASA),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950174
